Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-04-21 08:35:07,2024-04-22 12:49:07,UTC-07:00,34,62,71,33.60,94.57,5.5,2001,156,74,2024-04-21 08:35:07,2024-04-21 13:21:27,45,12.2,254,278,125,64,65,24,570,82,91,60
2024-04-20 12:43:00,2024-04-21 08:35:07,UTC-07:00,69,63,79,33.83,96.20,14.0,2175,154,86,2024-04-20 12:43:00,2024-04-20 19:14:28,67,12.9,340,378,110,97,133,38,504,30,90,68
2024-04-19 10:49:00,2024-04-20 12:43:00,UTC-07:00,62,63,74,33.60,97.00,11.2,2139,146,81,2024-04-19 10:49:00,2024-04-19 18:59:45,91,12.8,456,490,206,112,138,34,503,38,93,64
2024-04-18 10:20:33,2024-04-19 10:49:00,UTC-07:00,64,63,75,34.00,95.25,8.1,1834,136,78,2024-04-18 10:20:33,2024-04-18 18:55:20,88,12.8,453,513,204,105,144,60,512,39,88,38
2024-04-17 13:44:51,2024-04-18 10:20:33,UTC-07:00,51,64,72,34.60,96.17,10.8,1730,134,84,2024-04-17 13:44:51,2024-04-17 19:06:54,79,12.4,305,322,146,40,119,17,385,0,94,29
2024-04-16 09:00:34,2024-04-17 13:44:51,UTC-07:00,37,67,60,34.10,95.76,11.2,2301,142,80,2024-04-16 09:00:34,2024-04-16 17:59:34,100,13.2,480,539,217,122,141,59,332,87,91,9
2024-04-15 02:56:27,2024-04-16 09:00:34,UTC-07:00,79,56,87,33.01,95.55,6.3,2153,130,75,2024-04-15 02:56:27,2024-04-15 08:34:12,63,12.8,299,333,143,80,76,34,474,10,89,84
2024-04-14 02:15:04,2024-04-15 02:56:27,UTC-07:00,79,57,82,33.40,96.61,7.1,1862,152,68,2024-04-14 02:15:04,2024-04-14 10:43:36,97,12.7,466,508,173,136,157,42,483,20,94,72
2024-04-13 02:55:42,2024-04-14 02:15:04,UTC-07:00,60,63,75,33.00,97.75,6.3,1667,125,77,2024-04-13 02:55:42,2024-04-13 11:32:14,94,12.9,471,514,181,125,165,43,502,36,91,63
2024-04-12 03:46:35,2024-04-13 02:55:42,UTC-07:00,89,56,92,33.80,96.13,8.2,1737,127,78,2024-04-12 03:46:35,2024-04-12 10:38:30,84,12.4,391,411,134,110,147,20,465,0,95,53
