Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-04-18 10:20:33,2024-04-19 10:49:00,UTC-07:00,2024-04-18 10:20:33,2024-04-18 18:55:20,88,12.8,453,513,204,105,144,60,512,39,88,38,false
2024-04-17 13:44:51,2024-04-18 10:20:33,UTC-07:00,2024-04-17 13:44:51,2024-04-17 19:06:54,79,12.4,305,322,146,40,119,17,385,0,94,29,false
2024-04-16 09:00:34,2024-04-17 13:44:51,UTC-07:00,2024-04-17 06:45:26,2024-04-17 08:45:26,19,12.0,86,120,42,25,19,34,462,0,76,,true
2024-04-16 09:00:34,2024-04-17 13:44:51,UTC-07:00,2024-04-16 09:00:34,2024-04-16 17:59:34,100,13.2,480,539,217,122,141,59,332,87,91,9,false
2024-04-15 02:56:27,2024-04-16 09:00:34,UTC-07:00,2024-04-15 14:00:49,2024-04-15 18:42:49,40,13.7,218,282,98,67,53,64,548,87,82,,true
2024-04-15 02:56:27,2024-04-16 09:00:34,UTC-07:00,2024-04-15 02:56:27,2024-04-15 08:34:12,63,12.8,299,333,143,80,76,34,474,10,89,84,false
2024-04-14 02:15:04,2024-04-15 02:56:27,UTC-07:00,2024-04-14 02:15:04,2024-04-14 10:43:36,97,12.7,466,508,173,136,157,42,483,20,94,72,false
2024-04-13 02:55:42,2024-04-14 02:15:04,UTC-07:00,2024-04-13 02:55:42,2024-04-13 11:32:14,94,12.9,471,514,181,125,165,43,502,36,91,63,false
2024-04-12 03:46:35,2024-04-13 02:55:42,UTC-07:00,2024-04-12 03:46:35,2024-04-12 10:38:30,84,12.4,391,411,134,110,147,20,465,0,95,53,false
2024-04-11 00:20:44,2024-04-12 03:46:35,UTC-07:00,2024-04-11 00:20:44,2024-04-11 10:29:44,100,12.9,559,607,269,97,193,48,501,30,92,72,false
2024-04-10 00:45:45,2024-04-11 00:20:44,UTC-07:00,2024-04-10 00:45:45,2024-04-10 08:09:53,87,12.4,415,444,211,93,111,29,476,0,94,67,false
2024-04-08 23:48:19,2024-04-10 00:45:45,UTC-07:00,2024-04-08 23:48:19,2024-04-09 10:03:34,100,13.5,548,615,375,71,102,67,517,42,89,60,false
2024-04-08 01:08:03,2024-04-08 23:48:19,UTC-07:00,2024-04-08 01:08:03,2024-04-08 08:07:40,82,13.5,376,419,171,97,108,43,461,0,89,56,false
2024-04-06 21:57:40,2024-04-08 01:08:03,UTC-07:00,2024-04-06 21:57:40,2024-04-07 11:18:56,100,12.7,745,799,373,134,238,54,608,127,93,40,false
2024-04-06 01:18:34,2024-04-06 21:57:40,UTC-07:00,2024-04-06 01:18:34,2024-04-06 05:29:28,42,14.2,205,246,147,34,24,41,489,10,83,87,false
2024-04-05 00:54:25,2024-04-06 01:18:34,UTC-07:00,2024-04-05 00:54:25,2024-04-05 10:23:31,97,13.2,492,569,145,147,200,77,508,33,87,83,false
2024-04-04 01:50:01,2024-04-05 00:54:25,UTC-07:00,2024-04-04 01:50:01,2024-04-04 09:56:56,86,13.5,416,486,206,96,114,70,482,0,85,81,false
2024-04-03 01:04:19,2024-04-04 01:50:01,UTC-07:00,2024-04-03 01:04:19,2024-04-03 10:48:20,100,12.5,516,580,264,121,131,64,471,0,88,79,false
2024-04-01 23:28:21,2024-04-03 01:04:19,UTC-07:00,2024-04-01 23:28:21,2024-04-02 09:39:45,100,12.8,551,610,225,125,201,59,480,0,90,71,false
2024-04-01 01:55:19,2024-04-01 23:28:21,UTC-07:00,2024-04-01 01:55:19,2024-04-01 10:45:00,100,12.5,495,529,174,133,188,34,494,16,94,87,false
2024-03-31 02:24:35,2024-04-01 01:55:19,UTC-07:00,2024-03-31 02:24:35,2024-03-31 10:34:44,94,12.9,444,487,214,94,136,43,470,0,92,74,false
